chembl_id,smiles,hob,mw,logp,hacc,hdon,tpsa,nrot,mr,num_rings,aromatic_rings,ro5_violations,drug_name,max_phase,measurement_type,original_value,original_units,validation_reason
CHEMBL527,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,100.0,331.35,1.58,5,2,99.6,2,83.81,3,2,0,PIROXICAM,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL2409511,O=S(=O)(Nc1ccccc1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,100.0,437.52,5.76,4,1,71.95,5,127.66,5,5,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL2409510,COc1ccccc1NS(=O)(=O)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,100.0,467.55,5.77,5,1,81.18,6,134.21,5,5,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL5172896,COCCO[C@H]1CC[C@H](NC(=O)c2cc(-c3cncs3)nc3[nH]ccc23)CC1,100.0,400.5,3.39,6,2,89.13,7,108.54,4,3,0,,,F,100.0,%,Clear HOB type + PK context
CHEMBL5314362,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21.O,100.0,295.3,-1.65,7,4,161.55,2,75.55,3,2,0,ENTECAVIR,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL290644,C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,100.0,238.25,-1.19,7,1,82.05,2,61.9,2,2,0,(S)-PROXYPHYLLINE,,F,100.0,%,Clear HOB type + PK context
CHEMBL37019,C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,100.0,238.25,-1.19,7,1,82.05,2,61.9,2,2,0,(R)-PROXYPHYLLINE,,F,100.0,%,Clear HOB type + PK context
CHEMBL255015,CC(C)NC[C@@H](O)COc1ccc(OCCOCC2CC2)cc1,100.0,323.43,2.23,5,2,59.95,12,90.12,2,1,0,,,F,100.0,%,Clear HOB type + PK context
CHEMBL2409507,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,100.0,471.97,6.42,4,1,71.95,5,132.67,5,5,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL4868679,C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1c(OCCO)nn3c1CCCC3)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,100.0,620.1,4.76,8,2,131.19,10,154.96,5,3,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL126,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,100.0,337.35,1.12,5,1,71.11,4,85.73,3,1,0,LINEZOLID,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL399938,CC(C)NC[C@H](O)COc1ccc(OCCOCC2CC2)cc1,100.0,323.43,2.23,5,2,59.95,12,90.12,2,1,0,,,F,100.0,%,Clear HOB type + PK context
CHEMBL1678,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,100.0,415.96,4.78,4,0,38.77,6,117.38,4,2,0,DONEPEZIL HYDROCHLORIDE,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,99.9,285.31,2.66,5,0,78.29,3,79.58,3,3,0,LETROZOLE,4.0,F,99.9,%,Clear HOB type + PK context
CHEMBL277474,Cc1cc(=O)n(-c2ccccc2)n1C,99.0,188.23,1.48,3,0,26.93,1,55.75,2,2,0,ANTIPYRINE,4.0,F,99.0,%,Clear HOB type + PK context
CHEMBL4861594,C[C@H]1CC2(CCN(c3ccc(C(=O)N4CCC(CN5Cc6cc7c(cc6C5)C(=O)N(C5CCC(=O)NC5=O)C7=O)CC4)cc3)CC2)CN1c1ccc(C#N)c(Cl)c1,99.0,788.35,5.37,9,1,137.37,6,213.77,9,3,2,,,F,99.0,%,Clear HOB type + PK context
CHEMBL5315124,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,99.0,740.76,2.26,12,2,181.52,4,193.7,8,4,2,LEVOFLOXACIN,4.0,F,99.0,%,Clear HOB type + PK context
CHEMBL1057,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,99.0,332.31,3.67,5,2,75.99,0,88.03,5,3,0,,,F,99.0,%,Clear HOB type + PK context
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,97.5,457.48,0.19,9,5,164.63,3,118.0,4,1,0,MINOCYCLINE,4.0,F,97.5,%,Clear HOB type + PK context
CHEMBL420937,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,97.5,361.37,1.54,6,1,75.01,2,95.04,4,2,0,DEXTROFLOXACINE,,F,97.5,%,Clear HOB type + PK context
CHEMBL4755860,COc1ccc2ncnc(CCNC(C)=O)c2c1,97.0,245.28,1.32,4,1,64.11,4,68.48,2,2,0,,,F,97.0,%,Clear HOB type + PK context
CHEMBL561,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,97.0,351.35,1.8,5,2,74.57,3,90.44,3,2,0,LOMEFLOXACIN,4.0,F,97.0,%,Clear HOB type + PK context
CHEMBL2409517,CC(=O)c1cccc(NS(=O)(=O)c2ccc3nc(-c4ccccc4)c(-c4ccccc4)nc3c2)c1,96.89,479.56,5.97,5,1,89.02,6,137.66,5,5,1,,,F,96.89,%,Clear HOB type + PK context
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,96.0,456.57,2.72,6,3,110.43,6,127.88,4,3,0,DELAVIRDINE,4.0,F,96.0,%,Clear HOB type + PK context
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,96.0,375.4,1.98,6,2,83.8,4,99.63,4,2,0,GATIFLOXACIN,4.0,F,96.0,%,Clear HOB type + PK context
CHEMBL428581,COc1c(N2CCN[C@@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,96.0,375.4,1.98,6,2,83.8,4,99.63,4,2,0,(S)-GATIFLOXACIN,,F,96.0,%,Clear HOB type + PK context
CHEMBL251670,COc1c(N2CCN[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,96.0,375.4,1.98,6,2,83.8,4,99.63,4,2,0,(R)-GATIFLOXACIN,,F,96.0,%,Clear HOB type + PK context
CHEMBL251689,COc1cc(N[C@H](C)CCCN)c2ncccc2c1,96.0,259.35,2.78,4,2,60.17,6,79.67,2,2,0,,,F,96.0,%,Clear HOB type + PK context
CHEMBL249843,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,96.0,259.35,2.78,4,2,60.17,6,79.67,2,2,0,,,F,96.0,%,Clear HOB type + PK context
CHEMBL565,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,95.0,242.7,3.06,3,0,35.53,4,62.79,1,1,0,CLOFIBRATE,4.0,F,95.0,%,Clear HOB type + PK context
CHEMBL562,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,95.0,352.77,2.81,6,0,71.06,3,86.13,3,1,0,GRISEOFULVIN,4.0,F,95.0,%,Clear HOB type + PK context
CHEMBL1751,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,95.0,780.95,2.22,14,6,203.06,7,192.61,8,0,3,DIGOXIN,4.0,F,95.0,%,Clear HOB type + PK context
CHEMBL267648,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,95.0,333.36,1.61,5,1,65.78,3,90.51,3,2,0,PEFLOXACIN,4.0,F,95.0,%,Clear HOB type + PK context
CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,95.0,272.37,1.09,4,3,78.43,6,73.01,1,1,0,SOTALOL,4.0,F,95.0,%,Clear HOB type + PK context
CHEMBL251457,O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,95.0,414.35,3.44,4,2,59.59,7,87.52,2,1,0,,,F,95.0,%,Clear HOB type + PK context
CHEMBL2409516,CC(=S)NS(=O)(=O)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,94.73,419.53,4.59,5,1,71.95,4,119.0,4,4,0,,,F,94.73,%,Clear HOB type + PK context
CHEMBL2409502,CC(=O)NS(=O)(=O)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,94.68,403.46,3.79,5,1,89.02,4,111.41,4,4,0,,,F,94.68,%,Clear HOB type + PK context
CHEMBL2409506,O=S(=O)(Nc1ccc(O)cc1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,93.89,453.52,5.47,5,2,92.18,5,129.33,5,5,1,,,F,93.89,%,Clear HOB type + PK context
CHEMBL249446,O=C(O)Cc1nn(-c2ccc(F)cc2)cc1-c1ccc(Cl)cc1,93.5,330.75,3.96,3,1,55.12,4,85.31,3,3,0,PIRAZOLAC,2.0,F,93.5,%,Clear HOB type + PK context
CHEMBL251074,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,93.0,308.33,3.61,4,1,67.51,4,87.73,3,3,0,,,F,93.0,%,Clear HOB type + PK context
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,93.0,314.36,2.56,4,0,60.44,3,83.77,3,2,0,ROFECOXIB,4.0,F,93.0,%,Clear HOB type + PK context
CHEMBL255027,COc1ccc(OC)c([C@H](O)CNC(=O)CN)c1,93.0,254.29,-0.19,5,3,93.81,6,66.57,1,1,0,(S)-MIDODRINE,,F,93.0,%,Clear HOB type + PK context
CHEMBL251073,CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,93.0,308.33,3.61,4,1,67.51,4,87.73,3,3,0,,,F,93.0,%,Clear HOB type + PK context
CHEMBL885,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,93.0,247.25,-0.46,7,2,90.37,2,56.32,2,1,0,EMTRICITABINE,4.0,F,93.0,%,Clear HOB type + PK context
CHEMBL255026,COc1ccc(OC)c([C@@H](O)CNC(=O)CN)c1,93.0,254.29,-0.19,5,3,93.81,6,66.57,1,1,0,(R)-MIDODRINE,,F,93.0,%,Clear HOB type + PK context
CHEMBL249262,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@H]1O,93.0,321.16,3.1,3,2,61.69,1,83.18,3,2,0,(S)-LORAZEPAM,,F,93.0,%,Clear HOB type + PK context
CHEMBL399057,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O,93.0,321.16,3.1,3,2,61.69,1,83.18,3,2,0,(R)-LORAZEPAM,,F,93.0,%,Clear HOB type + PK context
CHEMBL1433,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,93.0,444.44,-0.35,9,6,181.62,2,109.77,4,1,1,DOXYCYCLINE ANHYDROUS,4.0,F,93.0,%,Clear HOB type + PK context
CHEMBL1043,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,93.0,248.31,1.68,4,2,86.18,2,67.16,2,2,0,DAPSONE,4.0,F,93.0,%,Clear HOB type + PK context
CHEMBL1515,Cn1ccnc1S,93.0,114.17,0.71,3,1,17.82,0,30.46,1,1,0,METHIMAZOLE,4.0,F,93.0,%,Clear HOB type + PK context
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,92.0,379.5,4.36,4,0,38.77,6,110.13,4,2,0,DONEPEZIL,4.0,F,92.0,%,Clear HOB type + PK context
CHEMBL190083,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,92.0,244.26,3.68,1,1,37.3,3,67.89,2,2,0,TARENFLURBIL,3.0,F,92.0,%,Clear HOB type + PK context
CHEMBL159659,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,92.0,309.45,4.29,2,0,20.31,7,96.73,2,2,0,LEVOMETHADONE,2.0,F,92.0,%,Clear HOB type + PK context
CHEMBL1259059,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,92.0,529.46,1.66,10,3,158.18,10,125.21,3,2,1,SOFOSBUVIR,4.0,F,92.0,%,Clear HOB type + PK context
CHEMBL350719,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,92.0,309.45,4.29,2,0,20.31,7,96.73,2,2,0,ESMETHADONE,3.0,F,92.0,%,Clear HOB type + PK context
CHEMBL253766,C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1,92.0,260.31,3.17,3,1,54.37,4,70.24,2,2,0,(S)-SUPROFEN,,F,92.0,%,Clear HOB type + PK context
CHEMBL435298,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,92.0,244.26,3.68,1,1,37.3,3,67.89,2,2,0,ESFLURBIPROFEN,4.0,F,92.0,%,Clear HOB type + PK context
CHEMBL253765,C[C@@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1,92.0,260.31,3.17,3,1,54.37,4,70.24,2,2,0,(R)-SUPROFEN,,F,92.0,%,Clear HOB type + PK context
CHEMBL850,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,92.0,392.41,2.08,6,3,100.59,3,102.04,4,2,0,SPARFLOXACIN,4.0,F,92.0,%,Clear HOB type + PK context
CHEMBL249467,CCC(C(N)=O)(C(N)=O)c1ccccc1,91.0,206.25,0.31,2,2,86.18,4,56.8,1,1,0,PHENYLETHYLMALONAMIDE,,F,91.0,%,Clear HOB type + PK context
CHEMBL399490,O=C(O)[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,91.0,314.73,2.58,3,2,78.76,2,83.59,3,2,0,,,F,91.0,%,Clear HOB type + PK context
CHEMBL252714,O=C(O)[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,91.0,314.73,2.58,3,2,78.76,2,83.59,3,2,0,,,F,91.0,%,Clear HOB type + PK context
CHEMBL1148,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,91.0,348.43,2.53,5,3,100.19,5,92.69,2,2,0,TORSEMIDE,4.0,F,91.0,%,Clear HOB type + PK context
CHEMBL252319,Cc1cccc(OC[C@@H](O)CNC(C)C)c1,90.0,223.32,1.73,3,2,41.49,6,65.82,1,1,0,(S)-TOLIPROLOL,,F,90.0,%,Clear HOB type + PK context
CHEMBL680,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,90.0,367.81,0.62,5,3,112.73,4,88.91,3,1,0,CEFACLOR ANHYDROUS,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL1027,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,90.0,375.56,5.04,4,1,40.54,6,106.61,3,2,1,TIAGABINE,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL251484,Cc1cccc(OC[C@H](O)CNC(C)C)c1,90.0,223.32,1.73,3,2,41.49,6,65.82,1,1,0,(R)-TOLIPROLOL,,F,90.0,%,Clear HOB type + PK context
CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,90.0,428.54,4.78,5,1,87.13,7,123.76,5,3,0,IRBESARTAN,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL1435,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,90.0,454.52,-0.64,12,2,156.09,7,102.87,4,2,1,CEFAZOLIN,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL1727,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,90.0,347.4,0.44,5,3,112.73,4,88.73,3,1,0,CEPHALEXIN ANHYDROUS,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL4874673,Cc1c(C(=O)Nc2ccc3c(c2)B(O)OC3)nnn1-c1ccccn1,90.0,335.13,0.44,7,2,102.16,3,90.68,4,3,0,,,F,90.0,%,Clear HOB type + PK context
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,90.0,401.44,2.37,6,2,83.8,4,106.68,5,2,0,MOXIFLOXACIN,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,90.0,361.37,1.54,6,1,75.01,2,95.04,4,2,0,OFLOXACIN,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL4635331,Cc1cc(C[C@@H](NC(=O)N2CCC3(CC2)OC(=O)Nc2ncccc23)C(=O)N[C@@H](CC2CCNCC2)C(=O)N2CCN(c3ccncc3)CC2)cc2cn[nH]c12,90.0,763.9,3.06,10,5,189.81,9,208.85,8,4,1,HTL-0022562,1.0,F,90.0,%,Clear HOB type + PK context
CHEMBL1201320,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,90.0,345.42,2.9,5,1,83.09,5,93.02,3,3,0,ESOMEPRAZOLE,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL301265,CCCN[C@H]1CCc2nc(N)sc2C1,90.0,211.33,1.58,4,2,50.94,3,60.63,2,1,0,PRAMIPEXOLE,4.0,F,90.0,%,Clear HOB type + PK context
CHEMBL387108,Cc1cccc(C)c1NC(=O)[C@H](C)N,89.0,192.26,1.59,2,2,55.12,2,58.2,1,1,0,S-TOCAINIDE,,F,89.0,%,Clear HOB type + PK context
CHEMBL599,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,89.0,351.41,1.95,6,2,99.6,2,86.42,3,2,0,MELOXICAM,4.0,F,89.0,%,Clear HOB type + PK context
CHEMBL438145,CCN[C@H](C)Cc1cccc(C(F)(F)F)c1,89.0,231.26,3.25,1,1,12.03,4,58.29,1,1,0,LEVOFENFLURAMINE,2.0,F,89.0,%,Clear HOB type + PK context
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,89.0,320.32,0.66,6,2,87.46,3,83.68,3,2,0,ENOXACIN,4.0,F,89.0,%,Clear HOB type + PK context
CHEMBL222944,Cc1cccc(C)c1NC(=O)[C@@H](C)N,89.0,192.26,1.59,2,2,55.12,2,58.2,1,1,0,(R)-TOCAINIDE,,F,89.0,%,Clear HOB type + PK context
CHEMBL248702,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,89.0,231.26,3.25,1,1,12.03,4,58.29,1,1,0,DEXFENFLURAMINE,4.0,F,89.0,%,Clear HOB type + PK context
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,88.8,822.95,4.34,15,6,220.15,4,220.48,6,2,3,RIFAMPIN,4.0,F,88.8,%,Clear HOB type + PK context
CHEMBL254219,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,88.5,764.95,3.25,13,5,182.83,7,191.22,8,0,2,DIGITOXIN,4.0,F,88.5,%,Clear HOB type + PK context
CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,88.0,416.36,1.89,6,2,101.45,3,101.34,5,3,0,TROVAFLOXACIN,4.0,F,88.0,%,Clear HOB type + PK context
CHEMBL2409508,O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccc3nc(-c4ccccc4)c(-c4ccccc4)nc3c2)cc1,87.63,482.52,5.67,6,1,115.09,6,134.31,5,5,1,,,F,87.63,%,Clear HOB type + PK context
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,87.0,448.39,4.86,4,1,44.81,7,123.24,4,2,0,ARIPIPRAZOLE,4.0,F,87.0,%,Clear HOB type + PK context
CHEMBL146855,Cc1cccc(C)c1OC[C@H](C)N,87.0,179.26,2.03,2,1,35.25,3,55.06,1,1,0,(S)-MEXILETINE,,F,87.0,%,Clear HOB type + PK context
CHEMBL1389,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,87.0,312.45,3.88,2,1,37.3,1,90.49,4,0,0,LEVONORGESTREL,4.0,F,87.0,%,Clear HOB type + PK context
CHEMBL147507,Cc1cccc(C)c1OC[C@@H](C)N,87.0,179.26,2.03,2,1,35.25,3,55.06,1,1,0,(R)-MEXILETINE,,F,87.0,%,Clear HOB type + PK context
CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,86.0,229.26,-0.59,7,2,90.37,2,56.36,2,1,0,LAMIVUDINE,4.0,F,86.0,%,Clear HOB type + PK context
CHEMBL1380,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,86.0,286.34,1.09,7,3,101.88,4,79.75,4,2,0,ABACAVIR,4.0,F,86.0,%,Clear HOB type + PK context
CHEMBL2409509,O=[N+]([O-])c1cccc(NS(=O)(=O)c2ccc3nc(-c4ccccc4)c(-c4ccccc4)nc3c2)c1,85.61,482.52,5.67,6,1,115.09,6,134.31,5,5,1,,,F,85.61,%,Clear HOB type + PK context
CHEMBL250881,C[C@@H](N)Cc1cccc(C(F)(F)F)c1,85.0,203.21,2.6,1,1,26.02,2,48.8,1,1,0,,,F,85.0,%,Clear HOB type + PK context
CHEMBL75435,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,85.0,254.28,3.11,2,1,54.37,4,72.37,2,2,0,DEXKETOPROFEN,4.0,F,85.0,%,Clear HOB type + PK context
CHEMBL372052,C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,85.0,254.28,3.11,2,1,54.37,4,72.37,2,2,0,R-KETOPROFEN,,F,85.0,%,Clear HOB type + PK context
